index,date,open,adj_close,prev,sma2,sma5,sma10,sma20,ema12,ema26,sma2_diff,sma5_diff,sma10_diff,sma20_diff,ema12_diff,ema26_diff,label
26,2019-04-09,2886.580078,2878.199951,2895.77002,2894.255005,2881.7079590000003,2854.9399657,2836.32447495,2857.6943993110226,2834.2469638730254,0.0005231820861243493,0.004856069681942363,0.014099895370834743,0.02052840682769413,0.01314870325543923,0.02124583641037024,0
27,2019-04-10,2881.370117,2888.209961,2878.199951,2886.9849855,2883.8999512,2860.9139647,2840.6584715,2860.8490995708653,2837.5027406972454,-0.0030522669201449673,-0.0019804045226321306,0.006005832323773768,0.013043388277091993,0.006028369023877717,0.014139813423530519,1
28,2019-04-11,2891.919922,2888.320068,2888.209961,2883.204956,2886.8619630000003,2869.1979490999997,2844.52297345,2865.058462867655,2841.258831090042,0.0017329089877756235,0.0004667243788374061,0.00658262804876473,0.015125973575298579,0.008015863958979276,0.01625613461069222,1
29,2019-04-12,2900.860107,2907.409912,2888.320068,2888.2650145,2888.6479980000004,2876.4859618,2848.51497785,2868.6371713495546,2844.7448486389276,1.9060733818996132e-05,-0.00011353658607075767,0.004097228119248712,0.013781398602947376,0.00681465218086952,0.015086700343167236,1
30,2019-04-15,2908.320068,2905.580078,2907.409912,2897.86499,2891.5819824,2883.7869628,2852.76147445,2874.6022083727003,2849.386705184192,0.0032829639744311506,0.005443996573951304,0.008125083808271828,0.018796261691357927,0.011284168596897806,0.01995700935610209,0
31,2019-04-16,2912.26001,2907.060059,2905.580078,2906.494995,2893.5439939999997,2887.6259765000004,2856.3934813,2879.368034469208,2853.5491772446226,-0.00031488273440731496,0.004142403126705462,0.00617917972247314,0.016928322530988898,0.009021277275839037,0.017907233446889496,1
32,2019-04-17,2916.040039,2900.449951,2907.060059,2906.3200685,2899.3160156000004,2891.6079834,2860.1179808499996,2883.6283459354836,2857.5129462635396,0.0002545494365377158,0.0026638745821658152,0.005315361666561192,0.01614761208825795,0.008060278284232145,0.017043718303330846,0
33,2019-04-18,2904.810059,2905.030029,2900.449951,2903.755005,2901.7640136,2894.3129882999997,2863.9289794,2886.2162851761786,2860.693465132907,-0.001139496993857946,-0.00045305474054013176,0.0021158657462386145,0.012591484844414727,0.004907399218839825,0.01370700633995978,1
34,2019-04-22,2898.780029,2907.969971,2905.030029,2902.73999,2905.1060058,2896.8770019,2866.4364867,2889.11070730292,2863.977655048988,0.0007883013177623779,-2.6153533437298438e-05,0.002806520765228257,0.013285075167806495,0.005479916399542249,0.014131480067744324,1
35,2019-04-23,2909.98999,2933.679932,2907.969971,2906.5,2905.2180176,2898.4,2871.7994872,2892.0121324870865,2867.2363451194333,0.0005054973107217093,0.0009463486306405948,0.0032909456065355965,0.012438396599935198,0.005487621492675118,0.01400758133226497,1
36,2019-04-24,2934.0,2927.25,2933.679932,2920.8249514999998,2910.8379884,2902.1909912,2878.56547845,2898.422563181381,2872.1580922957714,0.004381861961075118,0.007786106231577795,0.010733597914525295,0.01878679843319739,0.012018137505062684,0.020970876554446353,0
37,2019-04-25,2928.98999,2926.169922,2927.25,2930.464966,2914.8759766,2907.0959961,2884.0049804,2902.8575534611687,2876.2389743479366,-0.0010982888376462564,0.00422718367068073,0.0068849616192672766,0.01477325804082329,0.008332888048110457,0.017426262072615384,0
